import time: self [us] | cumulative | imported package
import time:     45119 |     311354 |                 django.db.models.base
import time:     91972 |    8592824 |               django.db.models
import time:     68619 |    8661442 |             django.core.serializers.base
import time:     61373 |    8722815 |           django.core.serializers
import time:     49336 |      49336 |           django.core.serializers.python
import time:     45059 |    8817209 |         django.core.serializers.json
import time:     42744 |    8883703 |       django.http.response
import time:     58509 |    9405117 |     django.http
import time:     29842 |      29842 |     django.urls.exceptions
import time:     36859 |      36859 |       django.urls.converters
import time:     19506 |      19506 |       django.urls.utils
import time:     38873 |      95236 |     django.urls.resolvers
import time:     63820 |    9594014 |   django.urls.base
import time:     17884 |      17884 |   django.urls.conf
import time:     64648 |    9676545 | django.urls
import time:     10758 |      10758 |     socketserver
import time:      6255 |      17012 |   logging.config
import time:      1115 |       1115 |       email.generator
import time:      8135 |       8135 |         email._header_value_parser
import time:      4055 |      12190 |       email.headerregistry
import time:       555 |        555 |         email.mime
import time:       853 |        853 |           email.contentmanager
import time:      3190 |       4042 |         email.policy
import time:      6810 |      11406 |       email.mime.base
import time:       567 |        567 |         email.mime.nonmultipart
import time:      1854 |       2421 |       email.mime.message
import time:       399 |        399 |       email.mime.multipart
import time:       475 |        475 |       email.mime.text
import time:     65514 |      65514 |       django.core.mail.utils
import time:    102211 |     195726 |     django.core.mail.message
import time:     95589 |     291315 |   django.core.mail
import time:     40880 |     349206 | django.utils.log
import time:     46185 |      46185 |       django.template.response
import time:     66080 |      66080 |       django.utils.decorators
import time:     90122 |     202385 |     django.views.generic.base
import time:     42277 |      42277 |       django.views.generic.detail
import time:     28821 |      28821 |         django.core.paginator
import time:     42299 |      71119 |       django.views.generic.list
import time:     78972 |     192367 |     django.views.generic.dates
import time:     39470 |      39470 |     django.views.generic.edit
import time:    389509 |     823730 |   django.views.generic
import time:      2777 |     826506 | django.views.generic.base
import time:     19862 |      19862 |   django.utils.timesince
import time:     26967 |      46829 | django.template.defaultfilters
import time:     77442 |      77442 |   django.views.decorators
import time:     72526 |     149967 | django.views.decorators.debug
import time:     76788 |      76788 |   django.utils.lorem_ipsum
import time:     63216 |      63216 |   django.template.smartif
import time:     64827 |     204829 | django.template.defaulttags
import time:    132736 |     132736 | django.contrib.admin.decorators
import time:     79294 |      79294 |   django.contrib.admin.exceptions
import time:     76057 |      76057 |         django.contrib.messages.constants
import time:    143063 |     143063 |         django.contrib.messages.storage
import time:    136247 |     355366 |       django.contrib.messages.api
import time:     72780 |      72780 |         django.contrib.messages.utils
import time:    142982 |     215762 |       django.contrib.messages.storage.base
import time:    121362 |     692489 |     django.contrib.messages
